HEX CODE,Expanded HEX
#BE9,#BBEE99
#BEA,#BBEEAA
#BEB,#BBEEBB
#BEC,#BBEECC
#BEE,#BBEEEE
#BEF,#BBEEFF
#BF0,#BBFF00
#BF1,#BBFF11
#BF2,#BBFF22
#BF3,#BBFF33
#BF4,#BBFF44
#BF5,#BBFF55
#BF6,#BBFF66
#BF7,#BBFF77
#BF8,#BBFF88
#BF9,#BBFF99
#BFA,#BBFFAA
#BFC,#BBFFCC
#BFD,#BBFFDD
#BFE,#BBFFEE
#C01,#CC0011
#C02,#CC0022
#C03,#CC0033
#C04,#CC0044
#C05,#CC0055
#C06,#CC0066
#C07,#CC0077
#C08,#CC0088
#C09,#CC0099
#C0A,#CC00AA
#C0B,#CC00BB
#C0C,#CC00CC
#C0D,#CC00DD
#C0E,#CC00EE
#C0F,#CC00FF
#C10,#CC1100
#C11,#CC1111
#C12,#CC1122
#C13,#CC1133
#C14,#CC1144
#C15,#CC1155
#C16,#CC1166
#C17,#CC1177
#C18,#CC1188
#C19,#CC1199
#C1A,#CC11AA
#C1B,#CC11BB
#C1C,#CC11CC
#C1D,#CC11DD
#C1E,#CC11EE
#C1F,#CC11FF
#C20,#CC2200
#C21,#CC2211
#C22,#CC2222
#C23,#CC2233
#C24,#CC2244
#C25,#CC2255
#C26,#CC2266
#C27,#CC2277
#C28,#CC2288
#C29,#CC2299
#C2A,#CC22AA
#C2B,#CC22BB
#C2C,#CC22CC
#C2D,#CC22DD
#C2E,#CC22EE
#C2F,#CC22FF
#C30,#CC3300
#C31,#CC3311
#C32,#CC3322
#C33,#CC3333
#C34,#CC3344
#C35,#CC3355
#C36,#CC3366
#C37,#CC3377
#C38,#CC3388
#C39,#CC3399
#C3A,#CC33AA
#C3B,#CC33BB
#C3C,#CC33CC
#C3D,#CC33DD
#C3E,#CC33EE
#C3F,#CC33FF
#C40,#CC4400
#C41,#CC4411
#C42,#CC4422
#C43,#CC4433
#C44,#CC4444
#C45,#CC4455
#C46,#CC4466
#C47,#CC4477
#C48,#CC4488
#C49,#CC4499
#C4A,#CC44AA
#C4B,#CC44BB
#C4C,#CC44CC
#C4D,#CC44DD
#C4E,#CC44EE
#C4F,#CC44FF
#C51,#CC5511
#C52,#CC5522
#C53,#CC5533
#C54,#CC5544
#C55,#CC5555
#C56,#CC5566
#C57,#CC5577
#C58,#CC5588
#C59,#CC5599
#C5A,#CC55AA
#C5B,#CC55BB
#C5C,#CC55CC
#C5D,#CC55DD
#C5E,#CC55EE
#C5F,#CC55FF
#C60,#CC6600
#C61,#CC6611
#C62,#CC6622
#C63,#CC6633
#C64,#CC6644
#C65,#CC6655
#C66,#CC6666
#C67,#CC6677
#C68,#CC6688
#C69,#CC6699
#C6A,#CC66AA
#C6B,#CC66BB
#C6C,#CC66CC
#C6D,#CC66DD
#C6E,#CC66EE
#C6F,#CC66FF
#C70,#CC7700
#C71,#CC7711
#C73,#CC7733
#C74,#CC7744
#C75,#CC7755
#C76,#CC7766
#C77,#CC7777
#C78,#CC7788
#C79,#CC7799
#C7A,#CC77AA
#C7B,#CC77BB
#C7C,#CC77CC
#C7D,#CC77DD
#C7E,#CC77EE
#C7F,#CC77FF
#C80,#CC8800
#C81,#CC8811
#C82,#CC8822
#C83,#CC8833
#C84,#CC8844
#C85,#CC8855
#C86,#CC8866
#C87,#CC8877
#C88,#CC8888
#C89,#CC8899
#C8A,#CC88AA
#C8B,#CC88BB
#C8C,#CC88CC
#C8D,#CC88DD
#C8E,#CC88EE
#C8F,#CC88FF
#C90,#CC9900
#C91,#CC9911
#C92,#CC9922
#C93,#CC9933
#C94,#CC9944
#C95,#CC9955
#C96,#CC9966
#C97,#CC9977
#C98,#CC9988
#C99,#CC9999
#C9A,#CC99AA
#C9B,#CC99BB
#C9C,#CC99CC
#C9D,#CC99DD
#C9E,#CC99EE
#C9F,#CC99FF
#CA0,#CCAA00
#CA1,#CCAA11
#CA2,#CCAA22
#CA3,#CCAA33
#CA4,#CCAA44
#CA5,#CCAA55
#CA6,#CCAA66
#CA7,#CCAA77
#CA8,#CCAA88
#CA9,#CCAA99
#CAA,#CCAAAA
#CAC,#CCAACC
#CAE,#CCAAEE
#CAF,#CCAAFF
#CB0,#CCBB00
#CB1,#CCBB11
#CB2,#CCBB22
#CB3,#CCBB33
#CB4,#CCBB44
#CB5,#CCBB55
#CB6,#CCBB66
#CB7,#CCBB77
#CB8,#CCBB88
#CB9,#CCBB99
#CBA,#CCBBAA
#CBB,#CCBBBB
#CBC,#CCBBCC
#CBD,#CCBBDD
#CBE,#CCBBEE
#CBF,#CCBBFF
#CC0,#CCCC00
#CC1,#CCCC11
#CC2,#CCCC22
#CC3,#CCCC33
#CC4,#CCCC44
#CC5,#CCCC55
#CC6,#CCCC66
#CC7,#CCCC77
#CC8,#CCCC88
#CC9,#CCCC99
#CCA,#CCCCAA
#CCB,#CCCCBB
#CCD,#CCCCDD
#CCE,#CCCCEE
#CD0,#CCDD00
#CD1,#CCDD11
#CD2,#CCDD22
#CD3,#CCDD33
#CD4,#CCDD44
#CD5,#CCDD55
#CD6,#CCDD66
#CD7,#CCDD77
#CD8,#CCDD88
#CD9,#CCDD99
#CDA,#CCDDAA
#CDB,#CCDDBB
#CDC,#CCDDCC
#CDD,#CCDDDD
#CDF,#CCDDFF
#CE0,#CCEE00
#CE1,#CCEE11
#CE2,#CCEE22
#CE3,#CCEE33
#CE4,#CCEE44
#CE5,#CCEE55
#CE6,#CCEE66
#CE7,#CCEE77
#CE8,#CCEE88
#CE9,#CCEE99
#CEA,#CCEEAA
#CEB,#CCEEBB
#CEC,#CCEECC
#CED,#CCEEDD
#CEE,#CCEEEE
#CEF,#CCEEFF
#CF1,#CCFF11
#CF2,#CCFF22
#CF3,#CCFF33
#CF4,#CCFF44
#CF5,#CCFF55
#CF7,#CCFF77
#CF8,#CCFF88
#CF9,#CCFF99
#CFA,#CCFFAA
#CFB,#CCFFBB
#CFC,#CCFFCC
#CFD,#CCFFDD
#CFE,#CCFFEE
#D01,#DD0011
#D02,#DD0022
#D03,#DD0033
#D04,#DD0044
#D05,#DD0055
#D06,#DD0066
#D07,#DD0077
#D08,#DD0088
#D09,#DD0099
#D0B,#DD00BB
#D0C,#DD00CC
#D0D,#DD00DD
#D0E,#DD00EE
#D0F,#DD00FF
#D10,#DD1100
#D11,#DD1111
#D12,#DD1122
#D13,#DD1133
#D14,#DD1144
#D15,#DD1155
#D16,#DD1166
#D17,#DD1177
#D18,#DD1188
#D19,#DD1199
#D1A,#DD11AA
#D1B,#DD11BB
#D1C,#DD11CC
#D1D,#DD11DD
#D1F,#DD11FF
#D20,#DD2200
#D21,#DD2211
#D22,#DD2222
#D23,#DD2233
#D24,#DD2244
#D25,#DD2255
#D26,#DD2266
#D27,#DD2277
#D28,#DD2288
#D29,#DD2299
#D2A,#DD22AA
#D2B,#DD22BB
#D2C,#DD22CC
#D2D,#DD22DD
#D2E,#DD22EE
#D2F,#DD22FF
#D30,#DD3300
#D31,#DD3311
#D32,#DD3322
#D33,#DD3333
#D35,#DD3355
#D36,#DD3366
#D37,#DD3377
#D38,#DD3388
#D39,#DD3399
#D3A,#DD33AA
#D3B,#DD33BB
#D3C,#DD33CC
#D3D,#DD33DD
#D3E,#DD33EE
#D3F,#DD33FF
#D40,#DD4400
#D41,#DD4411
#D42,#DD4422
#D43,#DD4433
#D44,#DD4444
#D45,#DD4455
#D46,#DD4466
#D47,#DD4477
#D48,#DD4488
#D49,#DD4499
#D4A,#DD44AA
#D4B,#DD44BB
#D4C,#DD44CC
#D4D,#DD44DD
#D4E,#DD44EE
#D4F,#DD44FF
#D50,#DD5500
#D51,#DD5511
#D52,#DD5522
#D53,#DD5533
#D54,#DD5544
#D55,#DD5555
#D56,#DD5566
#D57,#DD5577
#D58,#DD5588
#D59,#DD5599
#D5A,#DD55AA
#D5B,#DD55BB
#D5C,#DD55CC
#D5D,#DD55DD
#D5E,#DD55EE
#D5F,#DD55FF
#D60,#DD6600
#D61,#DD6611
#D62,#DD6622
#D63,#DD6633
#D64,#DD6644
#D65,#DD6655
#D66,#DD6666
#D67,#DD6677
#D68,#DD6688
#D69,#DD6699
#D6A,#DD66AA
#D6B,#DD66BB
#D6C,#DD66CC
#D6D,#DD66DD
#D6E,#DD66EE
#D6F,#DD66FF
#D70,#DD7700
#D71,#DD7711
#D72,#DD7722
#D73,#DD7733
#D74,#DD7744
#D75,#DD7755
#D76,#DD7766
#D77,#DD7777
#D78,#DD7788
#D79,#DD7799
#D7A,#DD77AA
#D7B,#DD77BB
#D7C,#DD77CC
#D7D,#DD77DD
#D7E,#DD77EE
#D7F,#DD77FF
#D80,#DD8800
#D81,#DD8811
#D82,#DD8822
#D83,#DD8833
#D84,#DD8844
#D85,#DD8855
#D86,#DD8866
#D87,#DD8877
#D88,#DD8888
#D89,#DD8899
#D8A,#DD88AA
#D8B,#DD88BB
#D8C,#DD88CC
#D8D,#DD88DD
#D8E,#DD88EE
#D8F,#DD88FF
#D90,#DD9900
#D91,#DD9911
#D92,#DD9922
#D93,#DD9933
#D94,#DD9944
#D95,#DD9955
#D96,#DD9966
#D97,#DD9977
#D98,#DD9988
#D99,#DD9999
#D9A,#DD99AA
#D9B,#DD99BB
#D9C,#DD99CC
#D9D,#DD99DD
#D9E,#DD99EE
#D9F,#DD99FF
#DA0,#DDAA00
#DA1,#DDAA11
#DA2,#DDAA22
#DA3,#DDAA33
#DA4,#DDAA44
#DA5,#DDAA55
#DA6,#DDAA66
#DA7,#DDAA77
#DA8,#DDAA88
#DA9,#DDAA99
#DAA,#DDAAAA
#DAC,#DDAACC
#DAE,#DDAAEE
#DAF,#DDAAFF
#DB0,#DDBB00
#DB1,#DDBB11
#DB2,#DDBB22
#DB3,#DDBB33
#DB4,#DDBB44
#DB5,#DDBB55
#DB6,#DDBB66
#DB7,#DDBB77
#DB8,#DDBB88
#DB9,#DDBB99
#DBA,#DDBBAA
#DBB,#DDBBBB
#DBC,#DDBBCC
#DBD,#DDBBDD
#DBE,#DDBBEE
#DBF,#DDBBFF
#DC0,#DDCC00
#DC1,#DDCC11
#DC2,#DDCC22
#DC3,#DDCC33
#DC4,#DDCC44
#DC5,#DDCC55
#DC6,#DDCC66
#DC7,#DDCC77
#DC8,#DDCC88
#DC9,#DDCC99
#DCA,#DDCCAA
#DCB,#DDCCBB
#DCC,#DDCCCC
#DCD,#DDCCDD
#DCE,#DDCCEE
#DCF,#DDCCFF
#DD0,#DDDD00
#DD1,#DDDD11
#DD2,#DDDD22
#DD3,#DDDD33
#DD4,#DDDD44
#DD5,#DDDD55
#DD6,#DDDD66
#DD7,#DDDD77
#DD8,#DDDD88
#DD9,#DDDD99
#DDA,#DDDDAA
#DDB,#DDDDBB
#DDC,#DDDDCC
#DDE,#DDDDEE
#DE0,#DDEE00
#DE1,#DDEE11
#DE2,#DDEE22
#DE3,#DDEE33
#DE4,#DDEE44
#DE5,#DDEE55
#DE6,#DDEE66
#DE7,#DDEE77
#DE8,#DDEE88
#DE9,#DDEE99
#DEA,#DDEEAA
#DEB,#DDEEBB
#DEC,#DDEECC
#DED,#DDEEDD
#DEE,#DDEEEE
#DEF,#DDEEFF
#DF1,#DDFF11
#DF2,#DDFF22
#DF3,#DDFF33
#DF4,#DDFF44
#DF5,#DDFF55
#DF6,#DDFF66
#DF7,#DDFF77
#DF8,#DDFF88
#DF9,#DDFF99
#DFA,#DDFFAA
#DFB,#DDFFBB
#DFC,#DDFFCC
#DFD,#DDFFDD
#DFE,#DDFFEE
#DFF,#DDFFFF
#E01,#EE0011
#E02,#EE0022
#E03,#EE0033
#E04,#EE0044
#E05,#EE0055
#E06,#EE0066
#E07,#EE0077
#E08,#EE0088
#E09,#EE0099
#E0A,#EE00AA
#E0B,#EE00BB
#E0C,#EE00CC
#E0D,#EE00DD
#E0E,#EE00EE
#E10,#EE1100
#E12,#EE1122
#E13,#EE1133
#E14,#EE1144
#E15,#EE1155
#E16,#EE1166
#E17,#EE1177
#E18,#EE1188
#E19,#EE1199
#E1A,#EE11AA
#E1B,#EE11BB
#E1C,#EE11CC
#E1D,#EE11DD
#E1E,#EE11EE
#E1F,#EE11FF
#E20,#EE2200
#E21,#EE2211
#E22,#EE2222
#E23,#EE2233
#E24,#EE2244
#E25,#EE2255
#E26,#EE2266
#E27,#EE2277
#E28,#EE2288
#E29,#EE2299
#E2A,#EE22AA
#E2C,#EE22CC
#E2D,#EE22DD
#E2E,#EE22EE
#E2F,#EE22FF
#E31,#EE3311
#E32,#EE3322
#E33,#EE3333
#E34,#EE3344
#E35,#EE3355
#E37,#EE3377
#E38,#EE3388
#E39,#EE3399
#E3A,#EE33AA
#E3B,#EE33BB
#E3C,#EE33CC
#E3D,#EE33DD
#E3E,#EE33EE
#E3F,#EE33FF
#E40,#EE4400
#E41,#EE4411
#E42,#EE4422
#E43,#EE4433
#E44,#EE4444
#E45,#EE4455
#E46,#EE4466
#E47,#EE4477
#E48,#EE4488
#E49,#EE4499
#E4A,#EE44AA
#E4B,#EE44BB
#E4C,#EE44CC
#E4D,#EE44DD
#E4E,#EE44EE
#E4F,#EE44FF
#E50,#EE5500
#E51,#EE5511
#E52,#EE5522
#E53,#EE5533
#E54,#EE5544
#E55,#EE5555
#E56,#EE5566
#E57,#EE5577
#E58,#EE5588
#E59,#EE5599
#E5A,#EE55AA
#E5B,#EE55BB
#E5C,#EE55CC
#E5D,#EE55DD
#E5E,#EE55EE
#E5F,#EE55FF
#E60,#EE6600
#E61,#EE6611
#E62,#EE6622
#E63,#EE6633
#E64,#EE6644
#E65,#EE6655
#E66,#EE6666
#E67,#EE6677
#E68,#EE6688
#E69,#EE6699
#E6A,#EE66AA
#E6B,#EE66BB
#E6C,#EE66CC
#E6D,#EE66DD
#E6E,#EE66EE
#E6F,#EE66FF
#E70,#EE7700
#E71,#EE7711
#E72,#EE7722
#E73,#EE7733
#E74,#EE7744
#E75,#EE7755
#E76,#EE7766
#E77,#EE7777
#E78,#EE7788
#E79,#EE7799
#E7A,#EE77AA
#E7B,#EE77BB
#E7C,#EE77CC
#E7D,#EE77DD
#E7E,#EE77EE
#E7F,#EE77FF
#E80,#EE8800
#E81,#EE8811
#E82,#EE8822
#E83,#EE8833
#E84,#EE8844
#E85,#EE8855
#E86,#EE8866
#E87,#EE8877
#E88,#EE8888
#E89,#EE8899
#E8A,#EE88AA
#E8B,#EE88BB
#E8C,#EE88CC
#E8D,#EE88DD
#E8E,#EE88EE
#E8F,#EE88FF
#E90,#EE9900
#E91,#EE9911
#E92,#EE9922
#E93,#EE9933
#E94,#EE9944
#E95,#EE9955
#E96,#EE9966
#E97,#EE9977
#E98,#EE9988
#E99,#EE9999
#E9A,#EE99AA
#E9B,#EE99BB
#E9C,#EE99CC
#E9D,#EE99DD
#E9E,#EE99EE
#E9F,#EE99FF
#EA0,#EEAA00
#EA1,#EEAA11
#EA2,#EEAA22
#EA3,#EEAA33
#EA4,#EEAA44
#EA5,#EEAA55
#EA6,#EEAA66
#EA8,#EEAA88
#EA9,#EEAA99
#EAA,#EEAAAA
#EAB,#EEAABB
#EAC,#EEAACC
#EAD,#EEAADD
#EAE,#EEAAEE
#EAF,#EEAAFF
#EB0,#EEBB00
#EB1,#EEBB11
#EB2,#EEBB22
#EB3,#EEBB33
#EB4,#EEBB44
#EB5,#EEBB55
#EB6,#EEBB66
#EB7,#EEBB77
#EB8,#EEBB88
#EB9,#EEBB99
#EBA,#EEBBAA
#EBB,#EEBBBB
#EBC,#EEBBCC
#EBD,#EEBBDD
#EBE,#EEBBEE
#EBF,#EEBBFF
#EC0,#EECC00
#EC1,#EECC11
#EC2,#EECC22
#EC3,#EECC33
#EC4,#EECC44
#EC5,#EECC55
#EC6,#EECC66
#EC7,#EECC77
#EC8,#EECC88
#EC9,#EECC99
#ECA,#EECCAA
#ECB,#EECCBB
#ECC,#EECCCC
#ECD,#EECCDD
#ECE,#EECCEE
#ECF,#EECCFF
#ED0,#EEDD00
#ED1,#EEDD11
#ED2,#EEDD22
#ED3,#EEDD33
#ED4,#EEDD44
#ED5,#EEDD55
#ED6,#EEDD66
#ED7,#EEDD77
#ED8,#EEDD88
#ED9,#EEDD99
#EDA,#EEDDAA
#EDB,#EEDDBB
#EDC,#EEDDCC
#EDD,#EEDDDD
#EDE,#EEDDEE
#EE0,#EEEE00
#EE1,#EEEE11
#EE2,#EEEE22
#EE3,#EEEE33
#EE4,#EEEE44
#EE5,#EEEE55
#EE6,#EEEE66
#EE7,#EEEE77
#EE8,#EEEE88
#EE9,#EEEE99
#EEA,#EEEEAA
#EEB,#EEEEBB
#EEC,#EEEECC
#EED,#EEEEDD
#EEF,#EEEEFF
#EF1,#EEFF11
#EF2,#EEFF22
#EF3,#EEFF33
#EF4,#EEFF44
#EF5,#EEFF55
#EF6,#EEFF66
#EF7,#EEFF77
#EF8,#EEFF88
#EF9,#EEFF99
#EFA,#EEFFAA
#EFB,#EEFFBB
#EFC,#EEFFCC
#EFD,#EEFFDD
#EFE,#EEFFEE
#F04,#FF0044
#F05,#FF0055
#F07,#FF0077
#F08,#FF0088
#F0D,#FF00DD
#F0E,#FF00EE
#F12,#FF1122
#F13,#FF1133
#F14,#FF1144
#F15,#FF1155
#F16,#FF1166
#F17,#FF1177
#F18,#FF1188
#F19,#FF1199
#F1A,#FF11AA
#F1B,#FF11BB
#F1C,#FF11CC
#F1D,#FF11DD
#F1E,#FF11EE
#F1F,#FF11FF
#F20,#FF2200
#F21,#FF2211
#F22,#FF2222
#F23,#FF2233
#F24,#FF2244
#F25,#FF2255
#F26,#FF2266
#F28,#FF2288
#F29,#FF2299
#F2A,#FF22AA
#F2B,#FF22BB
#F2C,#FF22CC
#F2D,#FF22DD
#F2E,#FF22EE
#F2F,#FF22FF
#F30,#FF3300
#F31,#FF3311
#F32,#FF3322
#F34,#FF3344
#F35,#FF3355
#F36,#FF3366
#F37,#FF3377
#F39,#FF3399
#F3A,#FF33AA
#F3B,#FF33BB
#F3C,#FF33CC
#F3D,#FF33DD
#F3E,#FF33EE
#F3F,#FF33FF
#F41,#FF4411
#F42,#FF4422
#F43,#FF4433
#F44,#FF4444
#F45,#FF4455
#F46,#FF4466
#F47,#FF4477
#F48,#FF4488
#F49,#FF4499
#F4A,#FF44AA
#F4B,#FF44BB
#F4C,#FF44CC
#F4D,#FF44DD
#F4E,#FF44EE
#F4F,#FF44FF
#F50,#FF5500
#F51,#FF5511
#F52,#FF5522
#F53,#FF5533
#F54,#FF5544
#F55,#FF5555
#F56,#FF5566
#F57,#FF5577
#F58,#FF5588
#F59,#FF5599
#F5A,#FF55AA
#F5B,#FF55BB
#F5C,#FF55CC
#F5D,#FF55DD
#F5E,#FF55EE
#F5F,#FF55FF
#F61,#FF6611
#F62,#FF6622
#F64,#FF6644
#F65,#FF6655
#F67,#FF6677
#F68,#FF6688
#F69,#FF6699
#F6A,#FF66AA
#F6B,#FF66BB
#F6C,#FF66CC
#F6D,#FF66DD
#F6E,#FF66EE
#F6F,#FF66FF
#F71,#FF7711
#F72,#FF7722
#F73,#FF7733
#F74,#FF7744
#F75,#FF7755
#F76,#FF7766
#F77,#FF7777
#F78,#FF7788
#F79,#FF7799
#F7A,#FF77AA
#F7B,#FF77BB
#F7C,#FF77CC
#F7D,#FF77DD
#F7E,#FF77EE
#F81,#FF8811
#F82,#FF8822
#F84,#FF8844
#F85,#FF8855
#F86,#FF8866
#F87,#FF8877
#F88,#FF8888
#F89,#FF8899
#F8A,#FF88AA
#F8B,#FF88BB
#F8C,#FF88CC
#F8D,#FF88DD
#F8E,#FF88EE
#F8F,#FF88FF
#F91,#FF9911
#F92,#FF9922
#F94,#FF9944
#F95,#FF9955
#F96,#FF9966
#F97,#FF9977
#F98,#FF9988
#F99,#FF9999
#F9A,#FF99AA
#F9B,#FF99BB
#F9C,#FF99CC
#F9D,#FF99DD
#F9E,#FF99EE
#F9F,#FF99FF
#FA1,#FFAA11
#FA2,#FFAA22
#FA3,#FFAA33
#FA4,#FFAA44
#FA5,#FFAA55
#FA6,#FFAA66
#FA7,#FFAA77
#FA8,#FFAA88
#FA9,#FFAA99
#FAB,#FFAABB
#FAE,#FFAAEE
#FAF,#FFAAFF
#FB1,#FFBB11
#FB2,#FFBB22
#FB3,#FFBB33
#FB4,#FFBB44
#FB5,#FFBB55
#FB6,#FFBB66
#FB7,#FFBB77
#FB8,#FFBB88
#FB9,#FFBB99
#FBA,#FFBBAA
#FBB,#FFBBBB
#FBC,#FFBBCC
#FBD,#FFBBDD
#FBE,#FFBBEE
#FBF,#FFBBFF
#FC1,#FFCC11
#FC2,#FFCC22
#FC3,#FFCC33
#FC4,#FFCC44
#FC5,#FFCC55
#FC6,#FFCC66
#FC7,#FFCC77
#FC8,#FFCC88
#FCA,#FFCCAA
#FCB,#FFCCBB
#FCD,#FFCCDD
#FCE,#FFCCEE
#FCF,#FFCCFF
#FD2,#FFDD22
#FD3,#FFDD33
#FD4,#FFDD44
#FD5,#FFDD55
#FD6,#FFDD66
#FD7,#FFDD77
#FD8,#FFDD88
#FD9,#FFDD99
#FDA,#FFDDAA
#FDB,#FFDDBB
#FDC,#FFDDCC
#FDD,#FFDDDD
#FDE,#FFDDEE
#FDF,#FFDDFF
#FE1,#FFEE11
#FE2,#FFEE22
#FE3,#FFEE33
#FE4,#FFEE44
#FE5,#FFEE55
#FE6,#FFEE66
#FE7,#FFEE77
#FE8,#FFEE88
#FE9,#FFEE99
#FEA,#FFEEAA
#FEB,#FFEEBB
#FEC,#FFEECC
#FEE,#FFEEEE
#FEF,#FFEEFF
#FF1,#FFFF11
#FF2,#FFFF22
#FF4,#FFFF44
#FF5,#FFFF55
#FF8,#FFFF88
#FFA,#FFFFAA
#FFB,#FFFFBB
#FFC,#FFFFCC
#FFD,#FFFFDD
